2022-02-05T00:52:10.366Z | info | LoginController {/login}:;
2022-02-05T00:52:10.367Z | info | Mapped {/login, POST} route;
2022-02-05T00:52:10.370Z | info | Nest application successfully started;
2022-02-05T00:52:10.376Z | info | Server started on port 4000;
2022-02-05T00:56:56.060Z | info | Starting Nest application...;
2022-02-05T00:56:56.146Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:56:56.147Z | info | ColumnModule dependencies initialized;
2022-02-05T00:56:56.147Z | info | AppModule dependencies initialized;
2022-02-05T00:56:56.256Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T00:56:56.256Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:56:56.257Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:56:56.257Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:56:56.257Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:56:56.261Z | info | UserModule dependencies initialized;
2022-02-05T00:56:56.262Z | info | BoardModule dependencies initialized;
2022-02-05T00:56:56.262Z | info | LoginModule dependencies initialized;
2022-02-05T00:56:56.262Z | info | TaskModule dependencies initialized;
2022-02-05T00:56:56.307Z | info | UserController {/users}:;
2022-02-05T00:56:56.310Z | info | Mapped {/users, POST} route;
2022-02-05T00:56:56.312Z | info | Mapped {/users, GET} route;
2022-02-05T00:56:56.314Z | info | Mapped {/users/:id, GET} route;
2022-02-05T00:56:56.315Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T00:56:56.316Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T00:56:56.317Z | info | BoardController {/boards}:;
2022-02-05T00:56:56.318Z | info | Mapped {/boards, POST} route;
2022-02-05T00:56:56.319Z | info | Mapped {/boards, GET} route;
2022-02-05T00:56:56.320Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T00:56:56.320Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T00:56:56.321Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T00:56:56.321Z | info | TaskController {/boards/:boardId}:;
2022-02-05T00:56:56.322Z | info | Mapped {/boards/:boardId/tasks, POST} route;
